,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,upper_band,lower_band,avg,jet_sd
51,JETAIRWAYS,EQ,26-Jul-2017,587.4,585.0,593.5,582.1,585.3,584.9,587.8,963499,566342661.6,15908,94825,9.84,622.8911377958124,581.3374336327598,602.1142857142861,10.38842604076316
52,JETAIRWAYS,EQ,27-Jul-2017,584.9,587.6,587.8,571.5,572.7,573.55,580.1,1064637,617592427.55,15818,121045,11.37,626.1118390704045,575.6667323581677,600.8892857142861,12.611276678059205
53,JETAIRWAYS,EQ,28-Jul-2017,573.55,572.0,599.75,568.4,597.05,596.25,588.23,2347037,1380597695.45,29907,311635,13.28,625.3529681489725,575.039888993885,600.1964285714288,12.578269788771879
54,JETAIRWAYS,EQ,31-Jul-2017,596.25,598.75,603.7,592.1,596.0,596.7,598.08,1119540,669579183.6,15270,87555,7.82,624.6496477499862,574.5432093928715,599.5964285714289,12.526609589278664
55,JETAIRWAYS,EQ,01-Aug-2017,596.7,602.1,607.0,592.2,592.75,595.5,599.46,1257476,753809769.5,17555,123407,9.81,623.0154305902869,574.1488551239994,598.5821428571431,12.216643866571845
56,JETAIRWAYS,EQ,02-Aug-2017,595.5,597.0,601.0,588.45,590.75,591.35,594.91,907780,540050345.5,17318,105807,11.66,619.7276843053986,574.0937442660305,596.9107142857146,11.40848500984201
57,JETAIRWAYS,EQ,03-Aug-2017,591.35,592.9,599.0,584.05,584.75,588.15,592.05,1121303,663871926.65,16539,189295,16.88,614.8733129746788,574.8195441681789,594.8464285714289,10.01344220162496
58,JETAIRWAYS,EQ,04-Aug-2017,588.15,589.0,614.0,584.05,614.0,609.4,599.93,1421406,852743935.35,27201,223860,15.75,614.2444345024066,575.1627083547369,594.7035714285718,9.770431536917465
59,JETAIRWAYS,EQ,07-Aug-2017,609.4,615.0,637.35,610.1,633.5,633.9,624.18,2693245,1681063466.7,37553,336083,12.48,625.0586004437378,568.427113841977,596.7428571428574,14.157871650440205
60,JETAIRWAYS,EQ,08-Aug-2017,633.9,630.15,646.0,626.1,631.25,630.2,636.81,2991187,1904829240.45,37052,197588,6.61,631.1512180135674,565.2630677007189,598.2071428571431,16.472037578212085
61,JETAIRWAYS,EQ,09-Aug-2017,630.2,628.9,636.75,609.1,612.6,613.7,625.47,1480023,925712415.4,23967,140666,9.5,633.4760373419045,566.0525340866676,599.7642857142861,16.855875813809227
62,JETAIRWAYS,EQ,10-Aug-2017,613.7,615.0,615.0,550.3,562.0,560.3,576.02,3028441,1744432917.5,38516,440906,14.56,636.9284242285105,557.3358614857757,597.1321428571431,19.898140685683707
63,JETAIRWAYS,EQ,11-Aug-2017,560.3,546.9,575.4,517.0,555.25,557.3,555.38,2382960,1323443486.35,28586,259213,10.88,639.28463851937,549.0867900520591,594.1857142857145,22.549462116827726
64,JETAIRWAYS,EQ,14-Aug-2017,557.3,562.8,571.5,558.65,564.05,564.7,565.9,1381147,781585885.8,15682,96071,6.96,640.2709926862613,544.8575787423108,592.564285714286,23.853353485987636
65,JETAIRWAYS,EQ,16-Aug-2017,564.7,568.0,592.0,560.8,585.55,587.05,582.56,2490425,1450827196.55,30165,166857,6.7,640.3320374343966,545.1036768513184,592.7178571428575,23.807090145769546
66,JETAIRWAYS,EQ,17-Aug-2017,587.05,591.95,602.95,586.5,591.55,591.2,595.88,1407443,838668437.2,19258,118886,8.45,640.3242743127034,547.6328685444403,593.9785714285719,23.172851442065788
67,JETAIRWAYS,EQ,18-Aug-2017,591.2,588.8,590.9,568.95,579.0,580.25,579.81,1397501,810291883.9,19834,79244,5.67,639.7260352251392,545.9453933462903,592.8357142857147,23.445160469712196
68,JETAIRWAYS,EQ,21-Aug-2017,580.25,578.25,578.25,553.7,562.4,559.85,563.66,1699952,958199537.4,23202,225822,13.28,640.1940699763455,540.2130728807982,590.2035714285719,24.995249273886852
69,JETAIRWAYS,EQ,22-Aug-2017,559.85,563.0,568.6,546.35,559.9,556.75,558.07,1571820,877180895.75,22572,95526,6.08,640.3674472220957,534.5039813493336,587.4357142857147,26.465866468190523
70,JETAIRWAYS,EQ,23-Aug-2017,556.75,560.0,578.2,557.2,572.8,574.4,568.8,1461328,831210600.3,22093,110877,7.59,639.5450315944282,532.9049684055725,586.2250000000004,26.66001579721391
71,JETAIRWAYS,EQ,24-Aug-2017,574.4,570.25,576.25,566.1,574.1,574.25,571.29,1351241,771949994.3,20082,70107,5.19,638.9141926738881,531.5500930403983,585.2321428571432,26.841024908372457
72,JETAIRWAYS,EQ,28-Aug-2017,574.25,574.2,584.9,570.65,573.05,574.6,578.59,1095329,633742599.7,15134,90460,8.26,634.806105338145,530.6867518047129,582.746428571429,26.029838383358005
73,JETAIRWAYS,EQ,29-Aug-2017,574.6,569.5,572.35,543.8,545.5,545.7,555.86,2651717,1473973353.1,39079,373668,14.09,622.8833910422505,530.0094661006077,576.4464285714291,23.218481235410728
74,JETAIRWAYS,EQ,30-Aug-2017,545.7,546.05,564.65,546.05,559.05,560.5,556.11,2409777,1340089930.35,33649,193460,8.03,606.664483011362,536.2712312743535,571.4678571428577,17.59831293425213
75,JETAIRWAYS,EQ,31-Aug-2017,560.5,563.35,582.6,556.4,579.0,578.5,569.09,2562094,1458052095.2,32049,301373,11.76,594.9920182771399,542.9151245800039,568.9535714285719,13.019223424284013
76,JETAIRWAYS,EQ,01-Sep-2017,578.5,579.0,584.95,572.0,577.4,578.35,578.88,1396558,808442799.95,16588,101850,7.29,596.2229636489119,544.2627506368033,570.2428571428576,12.99005325302713
