,Series,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Total_Cost,Day_Perc_Change,Trend
36,EQ,HDFCBANK,2017-07-05,1653.35,1653.1,1659.5,1645.0,       1647.15,1648.75,1651.02,1003550,1656877513.35,33969,745305,74.27,7,2017,1654603062.5,-0.002782230017842502,Slight or No change
37,EQ,HDFCBANK,2017-07-06,1648.75,1652.55,1663.0,1651.35,       1658.95,1658.15,1658.74,1142919,1895807617.7,36276,826102,72.28,7,2017,1895131139.8500001,0.005701288855193276,Slight or No change
38,EQ,HDFCBANK,2017-07-07,1658.15,1660.85,1669.6,1658.0,       1665.00,1667.2,1663.38,1379349,2294376290.9,34523,989181,71.71,7,2017,2299650652.8,0.005457889816964601,Slight or No change
39,EQ,HDFCBANK,2017-07-10,1667.2,1670.7,1748.0,1661.05,       1674.00,1676.35,1674.39,334769,560535368.7,6377,189620,56.64,7,2017,561190013.15,0.005488243761996081,Slight or No change
40,EQ,HDFCBANK,2017-07-11,1676.35,1677.55,1690.8,1667.1,       1676.15,1680.4,1681.6,1102570,1854082214.5,46609,683669,62.01,7,2017,1852758628.0,0.002415963253497244,Slight or No change
41,EQ,HDFCBANK,2017-07-12,1680.4,1680.0,1685.0,1658.55,       1680.55,1681.25,1675.45,1434723,2403800089.65,39173,807682,56.3,7,2017,2412128043.75,0.0005058319447750481,Slight or No change
42,EQ,HDFCBANK,2017-07-13,1681.25,1688.0,1693.3,1679.65,       1681.05,1683.55,1687.47,1120251,1890389586.05,38013,794284,70.9,7,2017,1885998571.05,0.0013680297397768992,Slight or No change
43,EQ,HDFCBANK,2017-07-14,1683.55,1683.9,1686.05,1672.0,       1682.00,1679.95,1677.65,610813,1024730172.4,19545,245408,40.18,7,2017,1026135299.35,-0.002138338629681269,Slight or No change
44,EQ,HDFCBANK,2017-07-17,1679.95,1682.55,1687.65,1677.0,       1685.00,1682.35,1681.96,599835,1008899560.35,15125,382911,63.84,7,2017,1009132412.25,0.001428613946843571,Slight or No change
45,EQ,HDFCBANK,2017-07-18,1682.35,1679.7,1687.85,1677.35,       1685.00,1683.55,1683.26,580547,977209674.65,20192,275144,47.39,7,2017,977379901.85,0.0007132879602935738,Slight or No change
46,EQ,HDFCBANK,2017-07-19,1683.55,1685.0,1696.2,1681.85,       1691.40,1692.3,1691.79,996811,1686392425.5,23454,496495,49.81,7,2017,1686903255.3,0.005197350836031012,Slight or No change
